Year,Annual Salary,Salary x 12 months
1950,6 612,(551 x 12)
1951,7 188,(599 x 12)
1952,7 824,(652 x 12)
1953,11 040,(920 x 12)
1954,11 700,(975 x 12)
1955,12 096,(1008 x 12)
1956,13 416,(1118 x 12)
1957,15 348,(1279 x 12)
1958,16 176,(1348 x 12)
1959,17 436,(1453 x 12)
1960,18 720,(1560 x 12)
1961,19 500,(1625 x 12)
1962,20 160,(1680 x 12)
1963,21 156,(1763 x 12)
1964,21 792,(1816 x 12)
1965,22 404,(1867 x 12)
1966,23 208,(1934 x 12)
1967,24 192,(2016 x 12)
1968,25 272,(2106 x 12)
1969,26 088,(2174 x 12)
1970,26 820,(2235 x 12)
1971,28 296,(2358 x 12)
1972,30 108,(2509 x 12)
1973,33 576,(2798 x 12)
1974,38 220,(3185 x 12)
1975,46 956,(3913 x 12)
1976,51 372,(4281 x 12)
1977,55 152,(4596 x 12)
1978,58 644,(4887 x 12)
1979,63 924,(5327 x 12)
1980,72 480, (6040 x 12)
1981,92 268,(7689 x 12)
1982,139 572,(11 631 x 12)
1983,173 700,(14 475 x 12)
1984,202 056,(16 838 x 12)
1985,240 060,(20 005 x 12)
1986,289 140,(24 095 x 12)
1987,350 208,(29 184 x 12)
1988,637 080,(53 090 x 12)
1989,2 481 096,(206 758 x 12)
1990,12 355 644,(1 029 637 x 12)
1991,21 240 000,(1 770 000 x 12)
1992,35 220 000,(2 935 000 x 12)
1993,47 940 000,(3 995 000 x 12)
1994,63 936 000,(5 328 000 x 12)
1995,8431.44,(702.62x12)
1996,10476.00,(873.00x12)
1997,12743.16,(1061.93x12)
1998,14873.88,(1239.49x12)
1999,20480.88,(1706.74x12)
2000,23085.72,(1923.81x12)
2001,24742.20,(2061.85x12)
2002,25598.52,(2133.21x12)
2003,26417.64,(2201.47x12)
2004,27474.84,(2289.57x12)
2005,28563.48,(2380.29x12)
2006,29726.76,(2477.23×12)
2007,32292.36,(2691.03x12)
2008,35326.56,(2943.88×12)
2009,37235.52,(3102.96x12)
2010,38699.76,(3224.98x12)
2011,40794.24,(3399.52x12)
2012,42260.04,(3521.67x12)
2013,43800.72,(3650.06x12)
2014,45401.52,(3783.46x12)
2015,46797.36,(3899.78x12)
2016,48566.52,(4047.21x12)
2017,51258.12,(4271.51x12)
2018,55020.36,(4585.03x12)
2019,59018.04,(4918.17x12)
2020,62009.64,(5167.47x12)
2021,67950.36,(5662.53x12)
2022,76153.80,(6346.15x12)
